Opto 3 Onset,Opto 3 Offset,obs.duration,frames,desired.frames,curr_delay,intended_delay,frame_count,intended_frame_count
167423.75,167922.25,498.5,30,30,488.58399999991525,495.1,30,30
169423.75,169922,498.25,30,30,494.3619999999646,495.1,30,30
171423.5,171922,498.5,30,30,492.1339999999618,495.1,30,30
173423.5,173921.75,498.25,30,30,494.8039999998873,495.1,30,30
175423.25,175921.75,498.5,30,30,492.7799999999115,495.1,30,30
177439.75,177921.5,481.75,29,30,488.5549999998184,495.1,30,30
179439.75,179938.25,498.5,30,30,500.55199999990873,495.1,30,30
181456.25,181954.75,498.5,30,30,501.9760000000242,495.1,30,30
183456,183954.5,498.5,30,30,495.20799999998417,495.1,30,30
185456,185954.5,498.5,30,30,489.5349999999162,495.1,30,30
187455.75,187954.25,498.5,30,30,494.58599999989383,495.1,30,30
189455.75,189954.25,498.5,30,30,494.0579999999609,495.1,30,30
191455.5,191954,498.5,30,30,489.54300000006333,495.1,30,30
193472,193970.5,498.5,30,30,499.6600000000326,495.1,30,30
195472,195970.5,498.5,30,30,495.56300000008196,495.1,30,30
197471.75,197970.25,498.5,30,30,491.5549999999348,495.1,30,30
199471.75,199970.25,498.5,30,30,493.21999999985565,495.1,30,30
